發言日期,發言時間,公司代號,公司名稱,主旨,ret
2021-09-27,10:40:16,3138,耀登,"更正主旨：本公司董事會決議發行第一次有擔保轉換公司債
（內文無誤）",
2021-09-27,19:33:44,1101,台泥,本公司董事會決議發行海外無擔保轉換公司債,
2021-11-05,18:42:26,3526,凡甲,公告本公司董事會決議發行國內第五次無擔保轉換公司債,
2021-11-05,19:21:01,6187,萬潤,公告董事會決議發行國內第四次無擔保轉換公司債,
2021-11-11,15:44:44,3138,耀登,本公司董事會決議發行第一次有擔保轉換公司債(更新),
2021-11-15,16:42:20,3665,貿聯-KY,本公司董事會決議發行第四次海外無擔保轉換公司債,
2021-12-15,16:59:34,6290,良維,公告本公司董事會決議發行國內第九次無擔保轉換公司債,
2021-12-17,17:11:50,3710,連展投控,公告董事會決議發行國內第二次有擔保轉換公司債,
2021-12-20,15:15:45,4580,捷流閥業,"更新110/5/12公告本公司董事會決議發行國內第一次無擔保
轉換公司債(110/12/20董事會決議變動發行價格及承銷方式)",
2021-12-21,14:24:08,2383,台光電,本公司董事會決議發行國內第五次無擔保可轉換公司債,
2021-12-22,16:27:06,8112,至上,本公司董事會決議發行國內第九次無擔保轉換公司債,
2022-02-15,17:26:19,3707,漢磊,公告本公司董事會決議發行國內第四次有擔保轉換公司債,
2022-03-02,19:41:15,3548,兆利,公告董事會決議發行國內第一次無擔保轉換公司債,
2022-03-10,17:41:15,6248,沛波,公告本公司董事會決議發行國內第四次無擔保轉換公司債相關事宜,
2022-03-16,15:51:12,5538,東明-KY,"公告本公司董事會決議發行中華民國境內
第二次有擔保可轉換公司債",
2022-03-18,17:25:47,1909,榮成,"更正110/11/12公告本公司董事會決議發行國內第三次無擔保
轉換公司債",
2022-03-23,18:43:34,4540,全球傳動,"公告本公司董事會決議發行國內第一次有擔保轉換
公司債暨國內第一次無擔保轉換公司債",
2022-03-24,12:52:48,3322,建舜電,補充公告111/3/17董事會決議發行國內第四次無擔保轉換公司債,
2022-03-25,17:09:44,5288,豐祥-KY,"本公司董事會決議發行中華民國境內第一次無擔保
轉換公司債",
2022-04-08,17:59:04,6570,維田,"公告董事會決議發行國內第一次無擔保轉換公司債
更正代理還本付息機構",
2022-04-18,17:16:13,8938,明安,公告本公司董事會決議發行第三次無擔保轉換公司債,
2022-04-20,16:00:10,5009,榮剛,"調整本公司110年11月4日董事會決議發行國內第六次無擔保
轉換公司債之發行總額",
2022-04-26,17:07:39,6220,岳豐,公告本公司董事會決議發行國內第十次無擔保可轉換公司債,
2022-05-06,17:16:51,6477,安集,公告本公司董事會決議發行國內第四次無擔保轉換公司債。,
2022-06-14,19:59:35,6472,保瑞,公告董事會決議發行本公司國內第二次無擔保可轉換公司債,
2022-06-22,18:31:36,8411,福貞-KY,公告本公司董事會決議發行無擔保轉換公司債,
2022-07-06,17:38:30,4540,全球傳動,"更新公告本公司董事會決議發行國內第一次有擔保轉換
公司債暨國內第二次無擔保轉換公司債",
2022-08-02,14:07:54,3388,崇越電,公告本公司董事會決議發行國內第一次無擔保轉換公司債案,
2022-08-04,18:09:13,6288,聯嘉,公告本公司董事會決議發行國內第三次無擔保可轉換公司債,
2022-08-24,17:31:03,1589,永冠-KY,公告本公司董事會決議發行中華民國境內第四次無擔保轉換公司債,
2022-09-14,14:05:55,5225,東科-KY,公告本公司董事會決議發行第一次有擔保轉換公司債,
2022-10-04,17:56:06,8050,廣積,董事會決議發行國內第六次無擔保轉換公司債,
2022-10-18,17:51:37,5543,桓鼎-KY,本公司董事會決議發行國內第四次無擔保可轉換公司債,
2022-10-18,17:51:24,5543,桓鼎-KY,本公司董事會決議發行國內第三次無擔保可轉換公司債,
2022-11-10,15:07:56,3665,貿聯-KY,本公司董事會決議發行第五次海外無擔保轉換公司債,
2022-12-08,17:18:16,4123,晟德,"本公司董事會決議發行國內第六次有擔保轉換公司債及
第七次無擔保轉換公司債",
2022-12-14,17:25:11,3092,鴻碩,公告鴻碩董事會決議發行國內第二次無擔保轉換公司債,
2022-12-16,16:19:46,4714,永捷,本公司董事會決議發行國內第八次無擔保轉換公司債,
2023-03-16,18:50:46,6472,保瑞,公告董事會決議發行本公司國內第三次無擔保可轉換公司債,
2023-03-17,16:44:07,6196,帆宣,公告董事會決議發行國內第五次無擔保可轉換公司債,
2023-03-24,19:59:59,6279,胡連,"公告本公司董事會決議發行國內第
一次無擔保轉換公司債。",
2023-03-30,17:41:49,5608,四維航,本公司董事會決議發行國內第六次有擔保轉換公司債,
2023-04-11,18:25:18,8499,鼎炫-KY,"代子公司隆揚電子(昆山)股份有限公司
公告董事會決議發行無擔保可轉換公司債",
2023-05-31,15:01:09,3357,臺慶科,本公司董事會決議發行國內第一次無擔保可轉換公司債,
2023-06-09,17:28:06,2376,技嘉,公告本公司董事會決議發行海外第三次無擔保轉換公司債,
2023-06-19,17:28:30,4912,聯德控股-KY,"公告本公司董事會決議發行中華民國境內第五次無擔保
轉換公司債",
2023-08-02,15:31:08,3013,晟銘電,公告本公司董事會決議發行112年國內有擔保轉換公司債,
2023-08-04,18:37:06,6288,聯嘉,公告本公司董事會決議發行國內第四次無擔保可轉換公司債,
2023-08-09,15:55:33,1781,合世,本公司董事會決議發行國內第四次有擔保轉換公司債,
